编号	中文名	X	Y	招式
0	无	0	0	
1	大师球	1	0	
2	高级球	2	0	
3	超级球	3	0	
4	精灵球	4	0	
5	狩猎球	5	0	
6	捕网球	6	0	
7	潜水球	7	0	
8	巢穴球	8	0	
9	重复球	9	0	
10	计时球	10	0	
11	豪华球	11	0	
12	纪念球	12	0	
13	黑暗球	13	0	
14	治愈球	14	0	
15	先机球	15	0	
16	贵重球	16	0	
17	伤药	17	0	
18	解毒药	18	0	
19	灼伤药	19	0	
20	解冻药	0	1	
21	解眠药	1	1	
22	解麻药	2	1	
23	全复药	3	1	
24	全满药	4	1	
25	厉害伤药	5	1	
26	好伤药	6	1	
27	万灵药	7	1	
28	活力碎片	8	1	
29	活力块	9	1	
30	美味之水	10	1	
31	劲爽汽水	11	1	
32	果汁牛奶	12	1	
33	哞哞鲜奶	13	1	
45	ＨＰ增强剂	14	1	
46	攻击增强剂	15	1	
47	防御增强剂	16	1	
48	速度增强剂	17	1	
49	特攻增强剂	18	1	
50	神奇糖果	19	1	
52	特防增强剂	0	2	
80	日之石	1	2	
81	月之石	2	2	
82	火之石	3	2	
83	雷之石	4	2	
84	水之石	5	2	
85	叶之石	6	2	
86	小蘑菇	7	2	
88	珍珠	8	2	
89	大珍珠	9	2	
92	金珠	10	2	
103	秘密琥珀	11	2	
107	光之石	12	2	
108	暗之石	13	2	
109	觉醒之石	14	2	
149	樱子果	15	2	
150	零余果	16	2	
151	桃桃果	17	2	
152	莓莓果	18	2	
153	利木果	19	2	
155	橙橙果	0	3	
156	柿仔果	1	3	
157	木子果	2	3	
158	文柚果	3	3	
169	榴石果	4	3	
170	藻根果	5	3	
171	比巴果	6	3	
172	哈密果	7	3	
173	萄葡果	8	3	
174	茄番果	9	3	
184	巧可果	10	3	
185	千香果	11	3	
186	烛木果	12	3	
187	罗子果	13	3	
188	番荔果	14	3	
189	莲蒲果	15	3	
190	通通果	16	3	
191	腰木果	17	3	
192	棱瓜果	18	3	
193	福禄果	19	3	
194	扁樱果	0	4	
195	草蚕果	1	4	
196	佛柑果	2	4	
197	莓榴果	3	4	
198	刺耳果	4	4	
199	霹霹果	5	4	
200	灯浆果	6	4	
214	白色香草	7	4	
217	先制之爪	8	4	
218	安抚之铃	9	4	
221	王者之证	10	4	
222	银粉	11	4	
230	气势头带	12	4	
231	幸运蛋	13	4	
232	焦点镜	14	4	
233	金属膜	15	4	
234	吃剩的东西	16	4	
236	电气球	17	4	
237	柔软沙子	18	4	
238	硬石头	19	4	
239	奇迹种子	0	5	
240	黑色眼镜	1	5	
241	黑带	2	5	
242	磁铁	3	5	
243	神秘水滴	4	5	
244	锐利鸟嘴	5	5	
245	毒针	6	5	
246	不融冰	7	5	
247	咒术之符	8	5	
248	弯曲的汤匙	9	5	
249	木炭	10	5	
250	龙之牙	11	5	
251	丝绸围巾	12	5	
253	贝壳之铃	13	5	
266	力量头带	14	5	
267	博识眼镜	15	5	
268	达人带	16	5	
270	生命宝珠	17	5	
275	气势披带	18	5	
289	力量护腕	19	5	
290	力量腰带	0	6	
291	力量镜	1	6	
292	力量束带	2	6	
293	力量护踝	3	6	
294	力量负重	4	6	
296	大根茎	5	6	
492	速度球	3	7	
493	等级球	4	7	
494	诱饵球	5	7	
495	沉重球	6	7	
496	甜蜜球	7	7	
497	友友球	8	7	
498	月亮球	9	7	
499	竞赛球	10	7	
538	进化奇石	11	7	
540	凸凸头盔	12	7	
564	一般宝石	13	7	
565	体力之羽	14	7	
566	肌力之羽	15	7	
567	抵抗之羽	16	7	
568	智力之羽	17	7	
569	精神之羽	18	7	
570	瞬发之羽	19	7	
571	美丽之羽	0	8	
576	梦境球	1	8	
581	巨大金珠	2	8	
582	丸子珍珠	3	8	
632	闪耀护符	4	8	
639	弱点保险	5	8	
640	突击背心	6	8	
646	泡沫奶油	7	8	
647	香袋	8	8	
656	耿鬼进化石	9	8	
657	沙奈朵进化石	10	8	
658	电龙进化石	11	8	
659	妙蛙花进化石	12	8	
660	喷火龙进化石Ｘ	13	8	
661	水箭龟进化石	14	8	
662	超梦进化石Ｘ	15	8	
663	超梦进化石Ｙ	16	8	
665	恰雷姆进化石	17	8	
666	黑鲁加进化石	18	8	
667	波士可多拉进化石	19	8	
668	诅咒娃娃进化石	0	9	
669	班基拉斯进化石	1	9	
670	巨钳螳螂进化石	2	9	
671	凯罗斯进化石	3	9	
672	化石翼龙进化石	4	9	
673	路卡利欧进化石	5	9	
674	暴雪王进化石	6	9	
675	袋兽进化石	7	9	
676	暴鲤龙进化石	8	9	
677	阿勃梭鲁进化石	9	9	
678	喷火龙进化石Ｙ	10	9	
679	胡地进化石	11	9	
680	赫拉克罗斯进化石	12	9	
681	大嘴娃进化石	13	9	
682	雷电兽进化石	14	9	
683	烈咬陆鲨进化石	15	9	
686	洛玫果	16	9	
700	电梯钥匙	18	9	
708	密阿雷格雷派饼	19	9	
710	颚之化石	0	10	
711	鳍之化石	1	10	
754	勾魂眼进化石	2	10	
755	七夕青鸟进化石	3	10	
756	艾路雷朵进化石	4	10	
757	差不多娃娃进化石	5	10	
758	巨金怪进化石	6	10	
759	巨牙鲨进化石	7	10	
760	呆壳兽进化石	8	10	
761	大钢蛇进化石	9	10	
762	大比鸟进化石	10	10	
763	冰鬼护进化石	11	10	
764	蒂安希进化石	12	10	
765	惩戒之壶	13	10	
767	喷火驼进化石	14	10	
768	长耳兔进化石	15	10	
769	暴飞龙进化石	16	10	
770	大针蜂进化石	17	10	
795	银色王冠	18	10	
796	金色王冠	19	10	
847	基格尔德多面体	0	11	
849	冰之石	1	11	
851	究极球	2	11	
1124	经验糖果ＸＳ	3	11	
1125	经验糖果Ｓ	4	11	
1126	经验糖果Ｍ	5	11	
1127	经验糖果Ｌ	6	11	
1128	经验糖果ＸＬ	7	11	
1231	怕寂寞薄荷	8	11	
1232	固执薄荷	8	11	
1233	顽皮薄荷	8	11	
1234	勇敢薄荷	8	11	
1235	大胆薄荷	9	11	
1236	淘气薄荷	9	11	
1237	乐天薄荷	9	11	
1238	悠闲薄荷	9	11	
1239	内敛薄荷	10	11	
1240	慢吞吞薄荷	10	11	
1241	马虎薄荷	10	11	
